# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4-for-1.8

backpack::<none>::34, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::35, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::36, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::37, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::38, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::39, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::40, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::41, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::42, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::43, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::44, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
cake.michael.lastused, date, 810974696D657374616D700400000185F94E8862
joopy123.random, boolean, 00
joopy123operator.random, boolean, 00
"kill counter.<player>.kills_session", long, 0000000000000000
"kill counter.<player>.kills_session_max", long, 0000000000000000
"kill counter.<player>.kills_total", long, 0000000000000000
"kill counter.joopy123.kills_session", long, 0000000000000001
"kill counter.joopy123.kills_total", long, 0000000000000001
"kill counter.michael.kills_session", long, 0000000000000004
"kill counter.michael.kills_total", long, 0000000000000004
"kill counter.moo.kills_session", long, 0000000000000002
"kill counter.moo.kills_total", long, 0000000000000002
michael.random, boolean, 00
moo.random, boolean, 00
moo_operator.random, boolean, 00
motd, string, 805A263657656C636F6D652C207B504C415945527D2636212636547970652026632F6E657768656C70263620696620796F7572206E65772E2636496620796F75206861766520616E792070726F626C656D73206665656C2066726565
unbreak.diamondaxe, boolean, 00
unbreak.diamondhoe, boolean, 00
unbreak.diamondpickaxe, boolean, 00
unbreak.diamondspade, boolean, 00
unbreak.diamondsword, boolean, 01
unbreak.ironaxe, boolean, 00
unbreak.ironhoe, boolean, 00
unbreak.ironpickaxe, boolean, 00
unbreak.ironspade, boolean, 00
unbreak.ironsword, boolean, 00
unbreak.stoneaxe, boolean, 00
unbreak.stonehoe, boolean, 00
unbreak.stonepickaxe, boolean, 00
unbreak.stonespade, boolean, 00
unbreak.stonesword, boolean, 00
unbreak.woodenaxe, boolean, 00
unbreak.woodenhoe, boolean, 00
unbreak.woodenpickaxe, boolean, 00
unbreak.woodenspade, boolean, 00
unbreak.woodensword, boolean, 00

