# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4-for-1.8

backpack::<none>::37, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::38, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::39, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::40, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::41, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::42, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::43, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
backpack::<none>::44, itemstack, 810576616C756520803876616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204149520A
baked_bean3773.random, boolean, 00
cake.michael.lastused, date, 810974696D657374616D700400000185F94E8862
cocksucker3000.random, boolean, 00
dream.random, boolean, 00
dripz_.random, boolean, 00
enderpearl.agent.lastused, date, 810974696D657374616D7004000001860F7FF0C3
enderpearl.joopy123.lastused, date, 810974696D657374616D7004000001860F8251E1
enderpearl.michael.lastused, date, 810974696D657374616D7004000001860F96822D
epcd.01000100_0100010.lastused, date, 810974696D657374616D7004000001860FB7DCDC
epcd.agent.lastused, date, 810974696D657374616D70040000018617AF6225
epcd.dripz_.lastused, date, 810974696D657374616D70040000018618271FE8
epcd.herobrine.lastused, date, 810974696D657374616D700400000186127980A4
epcd.jayjaylaray.lastused, date, 810974696D657374616D700400000186124B1368
epcd.joopy123.lastused, date, 810974696D657374616D70040000018618128BAB
epcd.matt____.lastused, date, 810974696D657374616D70040000018612661750
epcd.michael.lastused, date, 810974696D657374616D700400000186175D1EBE
epcd.mosh.lastused, date, 810974696D657374616D70040000018617C35AAD
epcd.nicker.lastused, date, 810974696D657374616D7004000001861275611A
epcd.opfire.lastused, date, 810974696D657374616D700400000186175BF839
epcd.weather_i_guess.lastused, date, 810974696D657374616D70040000018617AF6F6B
error_101.random, boolean, 00
funky.random, boolean, 00
goldapple.michael.lastused, date, 810974696D657374616D7004000001860F89CAF3
guessimweather.random, boolean, 00
herobrine.random, boolean, 00
joopy.random, boolean, 00
joopy123.random, boolean, 00
joopy123operator.random, boolean, 00
justshockz.random, boolean, 00
"kill counter.01000100_0100010.kills_session", long, 0000000000000016
"kill counter.01000100_0100010.kills_total", long, 0000000000000016
"kill counter.999.kills_session", long, 0000000000000001
"kill counter.999.kills_total", long, 0000000000000001
"kill counter.9v3death.kills_session", long, 0000000000000002
"kill counter.9v3death.kills_total", long, 0000000000000002
"kill counter.<player>.kills_session", long, 0000000000000000
"kill counter.<player>.kills_session_max", long, 0000000000000000
"kill counter.<player>.kills_total", long, 0000000000000000
"kill counter.agen.kills_session", long, 0000000000000001
"kill counter.agen.kills_total", long, 0000000000000001
"kill counter.agent.kills_session", long, 0000000000000025
"kill counter.agent.kills_total", long, 0000000000000025
"kill counter.azpen_trees.kills_session", long, 000000000000002D
"kill counter.azpen_trees.kills_total", long, 000000000000002D
"kill counter.bobmarley77.kills_session", long, 0000000000000004
"kill counter.bobmarley77.kills_total", long, 0000000000000004
"kill counter.dripz_.kills_session", long, 0000000000000044
"kill counter.dripz_.kills_total", long, 0000000000000044
"kill counter.error_101.kills_session", long, 000000000000000B
"kill counter.error_101.kills_total", long, 000000000000000B
"kill counter.funky.kills_session", long, 0000000000000006
"kill counter.funky.kills_total", long, 0000000000000006
"kill counter.guessimweather.kills_session", long, 000000000000003C
"kill counter.guessimweather.kills_total", long, 000000000000003C
"kill counter.herobrine.kills_session", long, 0000000000000039
"kill counter.herobrine.kills_total", long, 0000000000000039
"kill counter.jayjaylaray.kills_session", long, 0000000000000004
"kill counter.jayjaylaray.kills_total", long, 0000000000000004
"kill counter.joopy.kills_session", long, 0000000000000004
"kill counter.joopy.kills_total", long, 0000000000000004
"kill counter.joopy123.kills_session", long, 0000000000000079
"kill counter.joopy123.kills_total", long, 0000000000000079
"kill counter.joopy123operator.kills_session", long, 0000000000000004
"kill counter.joopy123operator.kills_total", long, 0000000000000004
"kill counter.justshockz.kills_session", long, 0000000000000002
"kill counter.justshockz.kills_total", long, 0000000000000002
"kill counter.kevin992.kills_session", long, 0000000000000007
"kill counter.kevin992.kills_total", long, 0000000000000007
"kill counter.matt____.kills_session", long, 000000000000000E
"kill counter.matt____.kills_total", long, 000000000000000E
"kill counter.michael.kills_session", long, 000000000000006C
"kill counter.michael.kills_total", long, 000000000000006C
"kill counter.monkey_fucker69.kills_session", long, 0000000000000015
"kill counter.monkey_fucker69.kills_total", long, 0000000000000015
"kill counter.moo.kills_session", long, 000000000000002E
"kill counter.moo.kills_total", long, 000000000000002E
"kill counter.mosh.kills_session", long, 000000000000003B
"kill counter.mosh.kills_total", long, 000000000000003B
"kill counter.mr_not_idk.kills_session", long, 0000000000000006
"kill counter.mr_not_idk.kills_total", long, 0000000000000006
"kill counter.nicker.kills_session", long, 000000000000000E
"kill counter.nicker.kills_total", long, 000000000000000E
"kill counter.opfire.kills_session", long, 000000000000005B
"kill counter.opfire.kills_total", long, 000000000000005B
"kill counter.powderdealer.kills_session", long, 0000000000000041
"kill counter.powderdealer.kills_total", long, 0000000000000041
"kill counter.weather_i_guess.kills_session", long, 0000000000000031
"kill counter.weather_i_guess.kills_total", long, 0000000000000031
"kill counter.yes.kills_session", long, 0000000000000001
"kill counter.yes.kills_total", long, 0000000000000001
matt____.random, boolean, 00
michael.random, boolean, 00
michael2.random, boolean, 01
monkey_fucker69.random, boolean, 00
moo.random, boolean, 00
moo_operator.random, boolean, 00
mooisbullyingme.random, boolean, 00
motd, string, 805A263657656C636F6D652C207B504C415945527D2636212636547970652026632F6E657768656C70263620696620796F7572206E65772E2636496620796F75206861766520616E792070726F626C656D73206665656C2066726565
mr_beast.random, boolean, 00
mr_not_idk.random, boolean, 00
napple.agent, date, 810974696D657374616D7004000001860F86750D
napple.joopy123, date, 810974696D657374616D7004000001860F799E9D
napple.michael, date, 810974696D657374616D7004000001860F909911
napple.opfire, date, 810974696D657374616D7004000001860F862C4E
nicker.random, boolean, 00
notchapple.01000100_0100010.lastused, date, 810974696D657374616D7004000001860FBB329D
notchapple.9v3death.lastused, date, 810974696D657374616D700400000186176800A8
notchapple.agent.lastused, date, 810974696D657374616D70040000018618065A07
notchapple.azpen_trees.lastused, date, 810974696D657374616D70040000018617C5DF2E
notchapple.dripz_.lastused, date, 810974696D657374616D700400000186182255E0
notchapple.guessimweather.lastused, date, 810974696D657374616D7004000001861296F34E
notchapple.herobrine.lastused, date, 810974696D657374616D70040000018617F574E7
notchapple.jayjaylaray.lastused, date, 810974696D657374616D7004000001861241B6E7
notchapple.joopy123.lastused, date, 810974696D657374616D700400000186179F3306
notchapple.matt____.lastused, date, 810974696D657374616D700400000186129544A6
notchapple.michael.lastused, date, 810974696D657374616D7004000001861775D5B1
notchapple.monkey_fucker69.lastused, date, 810974696D657374616D7004000001861278A7E5
notchapple.moo.lastused, date, 810974696D657374616D700400000186182990B2
notchapple.mosh.lastused, date, 810974696D657374616D70040000018618065A09
notchapple.nicker.lastused, date, 810974696D657374616D700400000186181C0126
notchapple.opfire.lastused, date, 810974696D657374616D70040000018617764E00
notchapple.powderdealer.lastused, date, 810974696D657374616D700400000186180948EB
notchapple.weather_i_guess.lastused, date, 810974696D657374616D70040000018617C860F0
opfire.random, boolean, 00
powderdealer.random, boolean, 00
tnt.herobrine.lastused, date, 810974696D657374616D700400000186179E43AC
tnt.michael.lastused, date, 810974696D657374616D7004000001861770CE8F
tnt.mosh.lastused, date, 810974696D657374616D700400000186176BC323
unbreak.diamondaxe, boolean, 00
unbreak.diamondhoe, boolean, 00
unbreak.diamondpickaxe, boolean, 00
unbreak.diamondspade, boolean, 00
unbreak.diamondsword, boolean, 01
unbreak.ironaxe, boolean, 00
unbreak.ironhoe, boolean, 00
unbreak.ironpickaxe, boolean, 00
unbreak.ironspade, boolean, 00
unbreak.ironsword, boolean, 00
unbreak.stoneaxe, boolean, 00
unbreak.stonehoe, boolean, 00
unbreak.stonepickaxe, boolean, 00
unbreak.stonespade, boolean, 00
unbreak.stonesword, boolean, 00
unbreak.woodenaxe, boolean, 00
unbreak.woodenhoe, boolean, 00
unbreak.woodenpickaxe, boolean, 00
unbreak.woodenspade, boolean, 00
unbreak.woodensword, boolean, 00
weather_i_guess.random, boolean, 00
yes.random, boolean, 00

